"","CaseID","Country","StartYear","EndYear","Startmonth","Endmonth","Designation of the Event(s)","Public Health Activities","Children","Mothers_women","Others","Target Population(s)","Polio","Measles","Diphtheria","Pertussis","Tetanus","Cholera","Rubella","Other","Target Public Health Issue(s)","Parties Involved","UN_involved","UCDP_conflict","UCDP2","UCDP3","ISO3","cases","gwno","Startdate","Enddate"
"26","26","El Salvador","1986","1986","7","7","Days of Tranquillity","Vaccination Campaign","1","1","0","Children, women","1","1","1","1","1","0","0","0","Polio (likely also diphtheria, pertussis, tetanus, and measles - children), tetanus (women) (7)","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1986-07-01","1986-07-28"
"27","27","El Salvador","1987","1987","2","2","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1987-02-01","1987-02-28"
"28","28","El Salvador","1987","1987","3","3","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1987-03-01","1987-03-28"
"29","29","El Salvador","1988","1988","1","1","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","0","1","1","1","0","0","0","Polio, diphtheria, tetanus, pertussis","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1988-01-01","1988-01-28"
"30","30","El Salvador","1988","1988","2","2","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","0","1","1","1","0","0","0","Polio, diphtheria, tetanus, pertussis","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1988-02-01","1988-02-28"
"31","31","El Salvador","1987","1987","4","4","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1987-04-01","1987-04-28"
"32","32","El Salvador","1988","1988","4","4","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","0","1","1","1","0","0","0","Polio, diphtheria, tetanus, pertussis","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1988-04-01","1988-04-28"
"33","33","El Salvador","1989","1989","3","3","Days of Tranquillity","Vaccination Campaign","1","1","0","Children, pregnant women (6)","1","1","1","1","1","0","0","0","Polio, measles, diphtheria, pertussis, tetanus (6)","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1989-03-01","1989-03-28"
"34","34","El Salvador","1989","1989","4","4","Days of Tranquillity","Vaccination Campaign","1","1","0","Children, pregnant women (6)","1","1","1","1","1","0","0","0","Polio, measles, diphtheria, pertussis, tetanus (6)","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1989-04-01","1989-04-28"
"35","35","El Salvador","1990","1990","4","4","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","1","1","1","1","0","0","0","Polio, measles, diphtheria, tetanus, pertussis","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1990-04-01","1990-04-28"
